Date,arabica_futures_cents_lb
2022-03-15 00:00:00-04:00,212.3000030517578
2022-03-16 00:00:00-04:00,218.60000610351562
2022-03-17 00:00:00-04:00,217.3000030517578
2022-03-18 00:00:00-04:00,220.3000030517578
2022-03-21 00:00:00-04:00,225.85000610351562
2022-03-22 00:00:00-04:00,225.0500030517578
2022-03-23 00:00:00-04:00,225.3000030517578
2022-03-24 00:00:00-04:00,221.85000610351562
2022-03-25 00:00:00-04:00,221.85000610351562
2022-03-28 00:00:00-04:00,214.5500030517578
2022-03-29 00:00:00-04:00,215.6999969482422
2022-03-30 00:00:00-04:00,221.85000610351562
2022-03-31 00:00:00-04:00,226.39999389648438
2022-04-01 00:00:00-04:00,228.39999389648438
2022-04-04 00:00:00-04:00,230.60000610351562
2022-04-05 00:00:00-04:00,231.3000030517578
2022-04-06 00:00:00-04:00,227.60000610351562
2022-04-07 00:00:00-04:00,226.14999389648438
2022-04-08 00:00:00-04:00,231.64999389648438
2022-04-11 00:00:00-04:00,236.60000610351562
2022-04-12 00:00:00-04:00,233.60000610351562
2022-04-13 00:00:00-04:00,225.0500030517578
2022-04-14 00:00:00-04:00,223.60000610351562
2022-04-18 00:00:00-04:00,223.5
2022-04-19 00:00:00-04:00,221.3000030517578
2022-04-20 00:00:00-04:00,218.8000030517578
2022-04-21 00:00:00-04:00,228.14999389648438
2022-04-22 00:00:00-04:00,227.3000030517578
2022-04-25 00:00:00-04:00,220.8000030517578
2022-04-26 00:00:00-04:00,221.39999389648438
2022-04-27 00:00:00-04:00,215.9499969482422
2022-04-28 00:00:00-04:00,217.89999389648438
2022-04-29 00:00:00-04:00,222.5500030517578
2022-05-02 00:00:00-04:00,216.39999389648438
2022-05-03 00:00:00-04:00,218.1999969482422
2022-05-04 00:00:00-04:00,221.1999969482422
2022-05-05 00:00:00-04:00,218.39999389648438
2022-05-06 00:00:00-04:00,211.60000610351562
2022-05-09 00:00:00-04:00,206.3000030517578
2022-05-10 00:00:00-04:00,204.0
2022-05-11 00:00:00-04:00,220.10000610351562
2022-05-12 00:00:00-04:00,215.0
2022-05-13 00:00:00-04:00,212.89999389648438
2022-05-16 00:00:00-04:00,225.8000030517578
2022-05-17 00:00:00-04:00,228.1999969482422
2022-05-18 00:00:00-04:00,218.60000610351562
